epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1860.72,1.33986,1.6585,1.22519,0.28979,0.85685,0.43544,0.24824,1.21113,2.06492,1.15948,0.0671107,0.000332215,0.000332215
2,3592.05,1.21439,1.41502,1.20263,0.80571,0.43576,0.39856,0.22803,1.16535,2.43737,1.12683,0.0340943,0.000649076,0.000649076
3,5037.58,1.17274,1.34643,1.19327,0.50122,0.74077,0.61687,0.37738,1.04632,1.41652,1.07295,0.00106129,0.000949437,0.000949437
4,6361.45,1.13592,1.32826,1.17206,0.52373,0.79902,0.63303,0.36898,1.12509,1.44886,1.11391,0.00092575,0.00092575,0.00092575
5,7686.34,1.07628,1.28738,1.15677,0.65136,0.83386,0.7742,0.47974,0.96474,1.21567,1.07991,0.000901,0.000901,0.000901
6,9004.99,1.11111,1.2611,1.16734,0.5931,0.80508,0.69722,0.40519,1.21904,1.3041,1.19857,0.00087625,0.00087625,0.00087625
7,10327.5,1.05923,1.25481,1.14468,0.60122,0.82582,0.72141,0.42802,1.07362,1.32886,1.09166,0.0008515,0.0008515,0.0008515
8,11584.6,1.03681,1.23448,1.13757,0.53173,0.76145,0.61145,0.40216,0.91649,1.38677,1.05704,0.00082675,0.00082675,0.00082675
9,12916.1,1.01598,1.23218,1.12732,0.46743,0.38895,0.35817,0.19183,1.46983,2.42574,1.61955,0.000802,0.000802,0.000802
10,14248.6,1.00997,1.22417,1.12794,0.57798,0.79176,0.64897,0.3967,1.02293,1.25102,1.0811,0.00077725,0.00077725,0.00077725
11,15562.2,1.0006,1.20367,1.12783,0.7782,0.84888,0.8719,0.5243,1.099,1.09345,1.09616,0.0007525,0.0007525,0.0007525
12,17155.8,0.99032,1.17641,1.1256,0.73989,0.82671,0.81284,0.53255,0.90353,1.12919,1.03961,0.00072775,0.00072775,0.00072775
